filename,status,page_count,total_chars,avg_chars_per_page,preview,error
BECOE23_a97fb883.pdf,ok,221,316663,1432.9,COURSE SCHEME AND SYLLABUS FOR B.E. (COE) 2023 Page 1 of 211,
BECOE_2022_51e75824.pdf,ok,221,341374,1544.7,"Thapar Institute of Engineering & Technology, Patiala COURSES SCHEME FOR BE (COMPUTER ENGINEERING) 2022",
BECOE_2024_Scheme_2e3b73c7.pdf,ok,229,350013,1528.4,"COURSE SCHEME AND SYLLABUS FOR B.E. (COE) 2024 THE SUGC and SPGC meetings held on 27th February, 2026",
BECOE_2025_Scheme_66f19ecc.pdf,ok,227,346043,1524.4,"COURSE SCHEME AND SYLLABUS FOR B.E. (COE) 2025 THE SUGC and SPGC meetings held on 27th February, 2026",
BECSE2019_SUGC_421a970a.pdf,ok,159,243181,1529.4,"Thapar Institute of Engineering & Technology, Patiala COURSES SCHEME FOR BE (COMPUTER SCIENCE & ENGINEERING) 2019",
BECSE2020_SUGC_3f22942e.pdf,ok,159,227206,1429.0,"Thapar Institute of Engineering & Technology, Patiala COURSES SCHEME FOR BE (COMPUTER SCIENCE & ENGINEERING) 2020",
BECSE2021_eda0a961.pdf,ok,175,256220,1464.1,"Thapar Institute of Engineering & Technology, Patiala COURSES SCHEME FOR BE (COMPUTER SCIENCE & ENGINEERING) 2021",
BECSE2024_Scheme_37d1ce93.pdf,ok,244,354232,1451.8,"COURSE SCHEME AND SYLLABUS FOR B.E. (CSE) 2024 THE SUGC and SPGC meetings held on 27th February, 2026 Page 1",
BECSE2025_Scheme_3ccfb16f.pdf,ok,243,354234,1457.8,"COURSE SCHEME AND SYLLABUS FOR B.E. (CSE) 2025 THE SUGC and SPGC meetings held on 27th February, 2026 Page 1",
BECSE2026_Scheme_6caeb2cd.pdf,ok,243,354234,1457.8,"COURSE SCHEME AND SYLLABUS FOR B.E. (CSE) 2026 THE SUGC and SPGC meetings held on 27th February, 2026 Page 1",
BECSE_2022_8422700f.pdf,ok,184,275194,1495.6,"Thapar Institute of Engineering & Technology, Patiala COURSES SCHEME FOR BE (COMPUTER SCIENCE & ENGINEERING) 2022",
BECSE_2023_b0a321cc.pdf,ok,221,313612,1419.1,COURSE SCHEME AND SYLLABUS FOR B.E. (CSE) 2023 Page 1 of 210,
BE_CSBS2022_a368fd15.pdf,ok,125,204773,1638.2,"Thapar Institute of Engineering & Technology, Patiala COURSES SCHEME FOR BE (COMPUTER SCIENCE & BUSINESS SYSTEMS) 2022",
BE_CSBS2023_38b61d51.pdf,ok,130,213676,1643.7,"Thapar Institute of Engineering & Technology, Patiala COURSES SCHEME FOR BE (COMPUTER SCIENCE & BUSINESS SYSTEMS) 2023",
BE_CSBS_2019_8dc7fc5b.pdf,ok,120,196048,1633.7,"Thaparr Instituute of Enngineerinng & Tecchnologyy, Patialaa COURRSES SCCHEMEE FOR BE (COOMPUTEER SCIEENCE && BUSINNESS SYYSTEMSS) 2019",
BE_CSBS_2020_ee3209b5.pdf,ok,120,196047,1633.7,"Thaparr Instituute of Enngineerinng & Tecchnologyy, Patialaa COURRSES SCCHEMEE FOR BE (COOMPUTEER SCIEENCE && BUSINNESS SYYSTEMSS) 2020",
BE_CSBS_2021_0e6eba1b.pdf,ok,121,198783,1642.8,"Thapar Institute of Engineering & Technology, Patiala COURSES SCHEME FOR BE (COMPUTER SCIENCE & BUSINESS SYSTEMS) 2021",
BE_CSBS_2024_fdeb10eb.pdf,ok,130,213676,1643.7,"Thapar Institute of Engineering & Technology, Patiala COURSES SCHEME FOR BE (COMPUTER SCIENCE & BUSINESS SYSTEMS) 2024",
CEEMS_Summary2019-2024_3759b388.pdf,ok,9,9684,1076.0,"CCEEEEMMSS TTIIEETT SSUUMMMMAARRYY RREEPPOORRTT 2019 - 2024 https://ceems.thapar.edu/index.php P.O. Box 32, Bhadson Road, Patiala, Punjab, Pin -147004, India",
Climate_Action_Plan_a99e700c.pdf,ok,2,2739,1369.5,"Overall strategy and commitment to alleviating climate change Climate change is one of the biggest challenges facing our world today. Global collaborations and partnerships, along with local actions, ",
DISCIPLINE_58a095dd.pdf,ok,4,10801,2700.2,"28. DISCIPLINE: In order that every student enjoys and contributes in creating and maintaining a congenial environment on the campus, students are expected to be aware of their responsibilities, behav",
Departmental_Documented_Information_2025V5.3_a3087068.pdf,ok,65,81731,1257.4,"TIET, PATIALA DEPARTMENTAL DOCUMENTED INFORMATION THAPAR INSTITUTE OF ENGINEERING & TECHNOLOGY (Deemed to be University) PATIALA-147004 DEPARTMENTAL DOCUMENTED INFORMATION MANUAL TIET/QMS/DI/DEPT Rele",
Dr._Seema_Bawa_publication_0cf58846.pdf,ok,9,37552,4172.4,"PUBLICATIONS LIST IN JOURNALS, CONFERENCES: Dr. Seema Bawa [191] Sandeep Saharan, Seema Bawa, Neeraj Kumar, Rajkumar Buaya, Foggy-Park: A Dynamic Pricing and NSGA based Allocation Scheme for On-Street",
ENC_2023_scheme.pdf,ok,206,347336,1686.1,"SCHEME AND SYLLABUS Bachelor of Engineering (ELECTRONICS AND COMPUTER ENGINEERING) 2023-2027 THAPAR INSTITUTE OF ENGINEERING & TECHNOLOGY (DEEMED TO BE UNIVERSITY) PATIALA, PUNJAB, INDIA DEPARTMENT OF",
Extension_of_due_date_for_payment_of_feeoddsem22-23_06196773.pdf,ok,1,967,967.0,"THAPAR INSTITUTE OF ENGINEERING AND TECHNOLOGY: PATIALA (FTNANCE & ACCOUNTS SECTTON) Dated: July 21,2022 EXTENSION OF DATE FOR PAYMENT OF FEE (ODD SEMESTER 2022-231 The last date for payment of fee fo",
FEATURES_20OF_20UG-PG_20PROGRAMS_fc676154.pdf,ok,6,18350,3058.3,"12 FEATURES OF UG & PG PROGRAMS 12.1 TIET follows the semester system and each semester includes 90 days of teaching. 12.2 To be eligible for the award of degree, the candidate is required to obtain a",
FORMATS_20OF_20CERTIFICATES_481dd0b0.pdf,ok,14,20890,1492.1,31. INSTRUCTIONS/GUIDELINES REGARDING COMPETENT AUTHORITY TO ISSUE CERTIFICATES 1. SCHEDULED CASTE CATEGORY The format for SC Certificate is given as Annexure-II and the competent authorities to issue,
Faculty_TIET___LMTSM_Recruitment_Policy_34fb3f32.pdf,ok,10,19623,1962.3,Thapar Institute of Engineering & Technology Deemed to be University Recruitment and Promotion Policy Objective 1. The Institute believes in providing opportunities to high performers by enriching and,
Final-ME-CSE_Scheme-2020_1b08f3d6.pdf,ok,39,56542,1449.8,"Structure of Post Graduate (ME Computer Science and Engineering) THAPAR INSTITUTE OF ENGINEERING & TECHNIOLOGY (DEEMED TO BE UNIVERSITY) PATIALA, PUNJAB, INDIA",
HOSTEL_20FACILITIES_ffadaf52.pdf,ok,2,4377,2188.5,"27 HOSTEL AND OTHER FACILITIES 27.1 HOSTELS The Institute has 16 hostels (7 Hostels + 4 Towers) with state-of-the-art facilities. The total hostel accommodation for boys is over 4500 and for girls, ab",
Holiday_List_993f484e.pdf,weak_extraction,1,1,1.0,,
Hostel_Refund_Policyupdated_c431d162.pdf,ok,1,392,392.0,The BOG has approved the Hostel Fee refund policy for the year 2023-2024 as per following : S. No. Particulars Refund amount 1 Hostel vacated within 4 weeks of start of classes 80% 2 Hostel vacated af,
IEEE_Events_44bbe970.pdf,ok,17,6858,403.4,2019-2023 Computer Science and Engineering Department November 2023,
IMPORTANT_20DATES_20AND_20INFORMATION_664acb38.pdf,ok,15,36774,2451.6,IMPORTANT DATES AND INFORMATION: The online application form is available on www.thapar.edu. Fill the complete details and then take the print out of the form. Please keep one copy of the printout of ,
Industry_-_CED_CSED_EIED_ECED_MED_Maths_aa6c961c.pdf,ok,2,4812,2406.0,"THAPAR INSTITUTE OF ENGINEERING AND TECHNOLOGY (Deemed-to-be University under section 3 of UGC Act, 1956 vide notification # F.9-12/84-U.3 of GoI) PATIALA-147004, PUNJAB http://www.thapar.edu FACULTY ",
MCA_Scheme_2022_23_csed_28cdc4bc.pdf,ok,46,86131,1872.4,COURSE SCHEME FOR MCA 2022 Onwards 1,
MCA_Scheme_2025_d4dc2378.pdf,ok,56,81631,1457.7,COURSE SCHEME FOR MCA 2025 Onwards DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING MASTER OF COMPUTER APPLICATIONS (MCA) 1,
MECSE2025scheme_2020a86f.pdf,ok,44,68361,1553.7,"Structure of Post Graduate (ME Computer Science and Engineering) THAPAR INSTITUTE OF ENGINEERING & TECHNOLOGY (DEEMED TO BE UNIVERSITY) PATIALA, PUNJAB, INDIA",
MERIT_SCHOLARSHIP_1st_Year_LEET-2020_BATCH_FOR_2020-21_72aee54e.pdf,ok,1,1707,1707.0,"OFFICE OF DEAN OF ACADEMIC AFFAIRS No. TI/DA/SCH/20-21/ Dated : Oct 11, 2021 NOTICE OF MERIT SCHOLARSHIP 1st Year LEET STUDENTS (2020 Batch) FOR THE YEAR 2020-21 The list of meritorious students of 1s",
ME_CSE2021_FINAL_1804e7ec.pdf,ok,39,57332,1470.1,"Structure of Post Graduate (ME Computer Science and Engineering) THAPAR INSTITUTE OF ENGINEERING & TECHNIOLOGY (DEEMED TO BE UNIVERSITY) PATIALA, PUNJAB, INDIA",
ME_CSE_Course_Scheme_2022_e0104b02.pdf,ok,39,57332,1470.1,"Structure of Post Graduate (ME Computer Science and Engineering) THAPAR INSTITUTE OF ENGINEERING & TECHNIOLOGY (DEEMED TO BE UNIVERSITY) PATIALA, PUNJAB, INDIA",
MTech_VLSI_batch_2019_887785ac.pdf,ok,61,79420,1302.0,"DEPARTMENT OF ELECTRONICS & COMMUNICATION ENGINEERING SCHEME OF COURSES FOR M. Tech. (VLSI Design), Batch – 2019-2021 THAPAR INSTITUTE OF ENGINERING & TECHNOLOGY (Deemed to be University)",
PREFACE_380fd319.pdf,ok,1,1539,1539.0,"PREFACE Thapar Institute of Engineering & Technology (TIET) is a premier educational and research Institute located in the 250-acre lush green campus, known as Thapar Technology Campus (TTC), in the h",
PRIZES_20AND_20MEDALS_0abfbacb.pdf,ok,2,5321,2660.5,PRIZES AND MEDALS 26.1 MEDALS AWARDED AT THE ANNUAL CONVOCATION 26.1.1 The President's Medal is awarded to a student who tops the list of successful candidates in all the disciplines of final year B.E,
PhD_20Admission_20Notification-II_60d6360b.PDF,ok,1,1714,1714.0,TFIAPAR TII{IVERSITY: PATIALA Ref. No.AS/250 l/Ph.D./Admn/2017-l 8/64 l -B Dated:28.07 .2017 NOTIFICATION On the recommendations ofthe Ph.D. Admission Commiftees & duly approved by the Dean (Research ,
Privacy_PolicyTIET_5161daf9.pdf,ok,5,6723,1344.6,Thank you for visiting the Thapar Institute of Engineering and Technology (deemed to be university) website and reviewing our privacy policy. We hold the privacy of our site visitors in the highest re,
ProjectRegistrationNotice_33a836d8.pdf,ok,1,1346,1346.0,"THAPAR INSTITUTE OF ENGINEERING AND TECHNOLOGY (Deemed to be University) Dated: May 23, 2022 N O T I C E Attention: All the Students going for Project Semester/System Development Project. The registra",
ProjectSem.Regn2022-23EVENSEM_d9d6450c.pdf,ok,1,1401,1401.0,"THAPAR INSTITUTE OF ENGINEERING AND TECHNOLOGY (Deemed-to-be-University) Dated: December 1, 2022 N O T I C E Attention: All the Students going for Project Semester/System Development Project. The regi",
Quality_Manual_2025V5.3_572caccc.pdf,ok,87,133831,1538.3,"TIET, PATIALA QUALITY MANUAL Release No. 5 Version 5.3 Release Date : 22.07.2025 PREPARED BY . APPROVED BY MR ISO 9001:2015 VICE-CHANCELLOR Page 1",
Resaech_-_BTD_SCBC_SEE_SPMS_bb85aae1.pdf,ok,3,5199,1733.0,"THAPAR INSTITUTE OF ENGINEERING AND TECHNOLOGY (Deemed-to-be University under section 3 of UGC Act, 1956 vide notification # F.9-12/84-U.3 of GoI) PATIALA-147004, PUNJAB http://www.thapar.edu FACULTY ",
Research_-_CED_CSED_EIED_ECED_MED_Maths_6b3fa20f.pdf,ok,3,5878,1959.3,"THAPAR INSTITUTE OF ENGINEERING AND TECHNOLOGY (Deemed-to-be University under section 3 of UGC Act, 1956 vide notification # F.9-12/84-U.3 of GoI) PATIALA-147004, PUNJAB http://www.thapar.edu FACULTY ",
Research_-_LMTSM_SHSS_8c9f5cfd.pdf,ok,4,8528,2132.0,"THAPAR INSTITUTE OF ENGINEERING AND TECHNOLOGY (Deemed-to-be University under section 3 of UGC Act, 1956 vide notification # F.9-12/84-U.3 of GoI) PATIALA-147004, PUNJAB http://www.thapar.edu FACULTY ",
SCHOLARSHIPS_8e5c9158.pdf,ok,9,22044,2449.3,25 SCHOLARSHIPS/TUITION FREESHIPS 25.1 The Institute offers following scholarships for UG students admitted on the basis of JEE(Main) score: Sr. Name of the Value of Criteria for Criteria for First Ye,
STUDENT_20ACTIVITIES_52598db6.pdf,ok,15,24912,1660.8,30. SOCIETIES/STUDENT CHAPTERS/CLUBS GAMES AND SPORTS The Institute has several playgrounds and well-maintained athletic track to encourage the students to take part in different games such as Cricket,
Scheme_and_Syllabus_M.Tech._VLSI_Design_2021-23_c58377f9.pdf,ok,58,78943,1361.1,"DEPARTMENT OF ELECTRONICS & COMMUNICATION ENGINEERING SCHEME OF COURSES FOR M. Tech. (VLSI Design), Batch – 2021-2023 THAPAR INSTITUTE OF ENGINERING & TECHNOLOGY (Deemed to be University)",
System_Documented_Information_2025V5.3_b7cd05b9.pdf,ok,33,27443,831.6,"TIET, PATIALA SYSTEM DOCUMENTED INFORMATION THAPAR INSTITUTE OF ENGINEERING & TECHNOLOGY (Deemed to be University) PATIALA SYSTEM DOCUMENTED INFORMATION MANUAL TIET/QMS/DI/SYST Release No. : 5.3 Relea",
TIET-IPR_Policy_Ver.2_-_Aug_2021_0fece00b.pdf,ok,15,37696,2513.1,Thapar Institute of Engineering and Technology Patiala Institutional Policy on Intellectual Property Rights (IPR Policy) Version. 2.0 August 2021 T IET – IPR PO LI CY - Ve r 2. 0 ; R ele as e d a te- ,
Teaching_-_CED_CSED_EIED_ECED_MED_Maths_f8828aa8.pdf,ok,4,7143,1785.8,"THAPAR INSTITUTE OF ENGINEERING AND TECHNOLOGY (Deemed-to-be University under section 3 of UGC Act, 1956 vide notification # F.9-12/84-U.3 of GoI) PATIALA-147004, PUNJAB http://www.thapar.edu FACULTY ",
Teaching_-_LMTSM_SHSS_63305214.pdf,ok,5,9837,1967.4,"THAPAR INSTITUTE OF ENGINEERING AND TECHNOLOGY (Deemed-to-be University under section 3 of UGC Act, 1956 vide notification # F.9-12/84-U.3 of GoI) PATIALA-147004, PUNJAB http://www.thapar.edu FACULTY ",
Teching_-_BTD_SCBC_SEE_SPMS_ed598cae.pdf,ok,3,6372,2124.0,"THAPAR INSTITUTE OF ENGINEERING AND TECHNOLOGY (Deemed-to-be University under section 3 of UGC Act, 1956 vide notification # F.9-12/84-U.3 of GoI) PATIALA-147004, PUNJAB http://www.thapar.edu FACULTY ",
UG ECE 2023 Scheme and Syllabus.pdf,ok,170,298827,1757.8,"SCHEME AND SYLLABUS Bachelor of Engineering (ELECTRONICS AND COMMUNICATION ENGINEERING) 2023-2027 THAPAR INSTITUTE OF ENGINEERING & TECHNOLOGY (DEEMED TO BE UNIVERSITY) PATIALA, PUNJAB, INDIA DEPARTME",
