url,type,status,saved_path
https://static.npfs.co/accounts/664/documents/2026/3/3/feaba839d7624dfe8f1b449600f9da0f_11%20ADMISSION%20TO%20PHD%20PROGRAMS.pdf,pdf,downloaded,output\pdfs\feaba839d7624dfe8f1b449600f9da0f_11_20ADMISSION_20TO_20PHD_20PROGRAMS_e6288251.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/c8706fe503eb4611b95ad51d4636cfe3_25 HOSTEL FACILITIES.pdf,pdf,downloaded,output\pdfs\c8706fe503eb4611b95ad51d4636cfe3_25_HOSTEL_FACILITIES_e2e9853b.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/58f5acf1f6cf4f2687c42519b66936af_20 BRIEF INFORMATION ABOUT CIVIL WITH COMPUTER APPLICATIONS ENGINEERING.pdf,pdf,downloaded,output\pdfs\58f5acf1f6cf4f2687c42519b66936af_20_BRIEF_INFORMATION_ABOUT_CIVIL_WITH_COMPUTER_APPLICATIONS_ENGINEERING_7edd69de.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/32ab1586afd1450c8d7a6f79fdbaa69f_24 PRIZES AND MEDALS.pdf,pdf,downloaded,output\pdfs\32ab1586afd1450c8d7a6f79fdbaa69f_24_PRIZES_AND_MEDALS_924bdbf9.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/83cbb8a55ce941d5b9f3656aa4fb2135_17 BRIEF INFORMATION ABOUT MCA 2 YEAR.pdf,pdf,downloaded,output\pdfs\83cbb8a55ce941d5b9f3656aa4fb2135_17_BRIEF_INFORMATION_ABOUT_MCA_2_YEAR_995bef0a.pdf
https://static.npfs.co/accounts/664/documents/2026/5/27/590dddcb7485402398934a268e815d5f_10 A ADMISSION TO MSc - PCM PROGRAM.pdf,pdf,downloaded,output\pdfs\590dddcb7485402398934a268e815d5f_10_A_ADMISSION_TO_MSc_-_PCM_PROGRAM_f28c71fe.pdf
https://static.npfs.co/accounts/664/documents/2026/4/22/a4a1be84fa814cb281b1e2b6e4041da2_30 WITHDRAWAL FORM.pdf,pdf,downloaded,output\pdfs\a4a1be84fa814cb281b1e2b6e4041da2_30_WITHDRAWAL_FORM_091ec550.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/c0147151854341d483bdda71a79d4e24_16 BRIEF INFORMATION ABOUT BIOMEDICAL ENGINEERING.pdf,pdf,downloaded,output\pdfs\c0147151854341d483bdda71a79d4e24_16_BRIEF_INFORMATION_ABOUT_BIOMEDICAL_ENGINEERING_70278b1d.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/35e9cdca941541669de3af535d968abe_08%20ADMISSION%20TO%20ME-MTECH%20PROGRAMS.pdf,pdf,downloaded,output\pdfs\35e9cdca941541669de3af535d968abe_08_20ADMISSION_20TO_20ME-MTECH_20PROGRAMS_f4cfe9ce.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/8a49c18e9a4940a5b91c775c118dedd1_07 ADMISSION IN SECOND YEAR OF UG PROGRAM (LATERAL ENTRY).pdf,pdf,downloaded,output\pdfs\8a49c18e9a4940a5b91c775c118dedd1_07_ADMISSION_IN_SECOND_YEAR_OF_UG_PROGRAM__LATERAL_ENTRY__a6e788c8.pdf
https://static.npfs.co/accounts/664/documents/2026/5/23/92257689063b4636bedb3135a866da02_13 INTERNATIONAL ENGINEERING PROGRAM.pdf,pdf,downloaded,output\pdfs\92257689063b4636bedb3135a866da02_13_INTERNATIONAL_ENGINEERING_PROGRAM_b893c519.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/c9ca1c9ac6384c869ba793be62a01312_21 BRIEF INFORMATION ABOUT ELECTIVE FOCUS IN B.E. (CHEMICAL ENGINEERING).pdf,pdf,downloaded,output\pdfs\c9ca1c9ac6384c869ba793be62a01312_21_BRIEF_INFORMATION_ABOUT_ELECTIVE_FOCUS_IN_B.E.__CHEMICAL_ENGINEERING__48eeab8d.pdf
https://static.npfs.co/accounts/664/documents/2026/6/29/f2bfec51bcbb473b99876d6bcc5b56c7_Cut off - Second online counselling on the basis of JEE - 2026.pdf,pdf,downloaded,output\pdfs\f2bfec51bcbb473b99876d6bcc5b56c7_Cut_off_-_Second_online_counselling_on_the_basis_of_JEE_-_2026_1392ca6c.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/e43f918eb33a407794b5133b33009ee8_27 ANTI-ALCOHOL AND ANTI-DRUG  ABUSE POLICY.pdf,pdf,downloaded,output\pdfs\e43f918eb33a407794b5133b33009ee8_27_ANTI-ALCOHOL_AND_ANTI-DRUG__ABUSE_POLICY_902c0ad6.pdf
https://static.npfs.co/accounts/664/documents/2026/6/19/dc5f745ae85d4b548b2728da49dfad4f_Notice regarding the Second Round of counselling - BEBTech.pdf,pdf,downloaded,output\pdfs\dc5f745ae85d4b548b2728da49dfad4f_Notice_regarding_the_Second_Round_of_counselling_-_BEBTech_851e25e0.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/8a49c18e9a4940a5b91c775c118dedd1_07%20ADMISSION%20IN%20SECOND%20YEAR%20OF%20UG%20PROGRAM%20(LATERAL%20ENTRY).pdf,pdf,skipped_duplicate_content:88358037,
